free_right,free_left,ego_speed,during_change,distance_front,distance_back,speed_front,speed_back,occup_front,occup_back,ego_lanes,action,free_right',free_left',ego_speed',during_change',distance_front',distance_back',speed_front',speed_back',occup_front',occup_back',ego_lanes',r_deltaspeed,r_freeright,r_lanechange,r_safetyviolation,r_distancefront,r_jerk,done
0.0,0.0,0.37416459894982534,1.0,[0.14023241 0.66657983 1.        ],[0.17653282 1.         1.        ],[0.84871959 0.78136411 1.        ],[0.81818068 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.        0.0125448 0.9874552],0,0.0,0.0,0.3807005466622436,1.0,[0.15325836 0.6778027  1.        ],[0.16443756 1.         1.        ],[0.8489536  0.78413711 1.        ],[0.81549768 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.06989247 0.93010753],-0.6192994533377565,0,0,0,0.0,-0.0,False
0.0,0.0,0.3807005466622436,1.0,[0.15325836 0.6778027  1.        ],[0.16443756 1.         1.        ],[0.8489536  0.78413711 1.        ],[0.81549768 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.06989247 0.93010753],0,0.0,0.0,0.3872364943746619,1.0,[0.16606737 0.68877579 1.        ],[0.15250657 1.         1.        ],[0.84769114 0.78169387 1.        ],[0.81612827 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.12724014 0.87275986],-0.612763505625338,0,0,0,0.0,-0.0,False
0.0,0.0,0.3872364943746619,1.0,[0.16606737 0.68877579 1.        ],[0.15250657 1.         1.        ],[0.84769114 0.78169387 1.        ],[0.81612827 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.12724014 0.87275986],0,0.0,0.0,0.3937724420870802,1.0,[0.17865737 0.69958436 1.        ],[0.14077296 1.         1.        ],[0.84635384 0.78231595 1.        ],[0.81556877 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.18458781 0.81541219],-0.6062275579129199,0,0,0,0.0,-0.0,False
0.0,0.0,0.3937724420870802,1.0,[0.17865737 0.69958436 1.        ],[0.14077296 1.         1.        ],[0.84635384 0.78231595 1.        ],[0.81556877 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.18458781 0.81541219],0,0.0,0.0,0.40030838979949845,1.0,[0.19115496 0.71020105 1.        ],[0.129203 1.       1.      ],[0.84956815 0.78195406 1.        ],[0.81622185 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.24193548 0.75806452],-0.5996916102005014,0,0,0,0.0,-0.0,False
0.0,0.0,0.40030838979949845,1.0,[0.19115496 0.71020105 1.        ],[0.129203 1.       1.      ],[0.84956815 0.78195406 1.        ],[0.81622185 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.24193548 0.75806452],0,0.0,0.0,0.40684433751191673,1.0,[0.20337612 0.72061429 1.        ],[0.11785744 1.         1.        ],[0.84616721 0.7811766  1.        ],[0.81469126 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.29928315 0.70071685],-0.5931556624880834,0,0,0,0.0,-0.0,False
0.0,0.0,0.40684433751191673,1.0,[0.20337612 0.72061429 1.        ],[0.11785744 1.         1.        ],[0.84616721 0.7811766  1.        ],[0.81469126 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.29928315 0.70071685],0,0.0,0.0,0.413380285224335,1.0,[0.21541034 0.73092202 1.        ],[0.10662764 1.         1.        ],[0.84598288 0.78391937 1.        ],[0.81706598 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.35663082 0.64336918],-0.5866197147756649,0,0,0,0.0,-0.0,False
0.0,0.0,0.413380285224335,1.0,[0.21541034 0.73092202 1.        ],[0.10662764 1.         1.        ],[0.84598288 0.78391937 1.        ],[0.81706598 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.35663082 0.64336918],0,0.0,0.0,0.4199162329367533,1.0,[0.22736   0.7410467 1.       ],[0.09565015 1.         1.        ],[0.84947932 0.78387532 1.        ],[0.81453186 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.41397849 0.58602151],-0.5800837670632468,0,0,0,0.0,-0.0,False
0.0,0.0,0.4199162329367533,1.0,[0.22736   0.7410467 1.       ],[0.09565015 1.         1.        ],[0.84947932 0.78387532 1.        ],[0.81453186 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.41397849 0.58602151],0,0.0,0.0,0.42645218064917156,1.0,[0.23908105 0.75095915 1.        ],[0.08484375 1.         1.        ],[0.84779702 0.78278214 1.        ],[0.81491746 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.47132616 0.52867384],-0.5735478193508284,0,0,0,0.0,-0.0,False
0.0,0.0,0.42645218064917156,1.0,[0.23908105 0.75095915 1.        ],[0.08484375 1.         1.        ],[0.84779702 0.78278214 1.        ],[0.81491746 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.47132616 0.52867384],0,0.0,0.0,0.43298812836158984,1.0,[0.25059713 0.76070465 1.        ],[0.07419859 1.         1.        ],[0.8469649 0.7833166 1.       ],[0.81565758 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.52867384 0.47132616],-0.5670118716384103,0,0,0,-0.23929535033841287,-0.0,False
0.0,0.0,0.43298812836158984,1.0,[0.25059713 0.76070465 1.        ],[0.07419859 1.         1.        ],[0.8469649 0.7833166 1.       ],[0.81565758 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.52867384 0.47132616],0,0.0,0.0,0.4395240760740081,1.0,[0.26192199 0.77026307 1.        ],[0.06368806 1.         1.        ],[0.84662696 0.78312736 1.        ],[0.81735359 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.58602151 0.41397849],-0.5604759239259919,0,0,0,-0.22973693173153897,-0.0,False
0.0,0.0,0.4395240760740081,1.0,[0.26192199 0.77026307 1.        ],[0.06368806 1.         1.        ],[0.84662696 0.78312736 1.        ],[0.81735359 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.58602151 0.41397849],0,0.0,0.0,0.4460600237864264,1.0,[0.27313686 0.77967159 1.        ],[0.05337624 1.         1.        ],[0.84920881 0.78427501 1.        ],[0.81674613 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.64336918 0.35663082],-0.5539399762135737,0,0,0,-0.2203284056868191,-0.0,False
0.0,0.0,0.4460600237864264,1.0,[0.27313686 0.77967159 1.        ],[0.05337624 1.         1.        ],[0.84920881 0.78427501 1.        ],[0.81674613 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.64336918 0.35663082],0,0.0,0.0,0.4525959714988447,1.0,[0.28414732 0.78881025 1.        ],[0.04325491 1.         1.        ],[0.84839703 0.7811097  1.        ],[0.81643487 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.70071685 0.29928315],-0.5474040285011553,0,0,0,-0.2111897511561569,-0.0,False
0.0,0.0,0.4525959714988447,1.0,[0.28414732 0.78881025 1.        ],[0.04325491 1.         1.        ],[0.84839703 0.7811097  1.        ],[0.81643487 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.70071685 0.29928315],0,0.0,0.0,0.45913191921126295,1.0,[0.29494149 0.79779922 1.        ],[0.03328888 1.         1.        ],[0.84715735 0.78226482 1.        ],[0.81738779 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.75806452 0.24193548],-0.5408680807887372,0,0,0,-0.20220078137704922,-0.0,False
0.0,0.0,0.45913191921126295,1.0,[0.29494149 0.79779922 1.        ],[0.03328888 1.         1.        ],[0.84715735 0.78226482 1.        ],[0.81738779 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.75806452 0.24193548],0,0.0,0.0,0.46566786692368123,1.0,[0.30559678 0.80665296 1.        ],[0.02353943 1.         1.        ],[0.84870132 0.78393957 1.        ],[0.81613828 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.81541219 0.18458781],-0.5343321330763188,0,0,0,-0.1933470411373429,-0.0,False
0.0,0.0,0.46566786692368123,1.0,[0.30559678 0.80665296 1.        ],[0.02353943 1.         1.        ],[0.84870132 0.78393957 1.        ],[0.81613828 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.81541219 0.18458781],0,0.0,0.0,0.4722038146360995,1.0,[0.31603322 0.81532814 1.        ],[0.01394984 1.         1.        ],[0.84736991 0.78405683 1.        ],[0.81692777 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.87275986 0.12724014],-0.5277961853639006,0,0,0,-0.1846718573913103,-0.0,False
0.0,0.0,0.4722038146360995,1.0,[0.31603322 0.81532814 1.        ],[0.01394984 1.         1.        ],[0.84736991 0.78405683 1.        ],[0.81692777 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.87275986 0.12724014],0,0.0,0.0,0.4787397623485178,1.0,[0.32624292 0.82378192 1.        ],[0.00453859 1.         1.        ],[0.84575519 0.78263378 1.        ],[0.81705254 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.93010753 0.06989247],-0.5212602376514822,0,0,0,-0.17621807823035518,-0.0,False
0.0,0.0,0.4787397623485178,1.0,[0.32624292 0.82378192 1.        ],[0.00453859 1.         1.        ],[0.84575519 0.78263378 1.        ],[0.81705254 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.         0.93010753 0.06989247],0,0.0,0.0,0.48527571006093606,1.0,[0.33628885 0.83206775 1.        ],[0. 1. 1.],[0.84640405 0.78313231 1.        ],[0.81591521 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.        0.9874552 0.0125448],-0.5147242899390639,0,0,0,-0.16793224921102434,-0.0,False
0.0,0.0,0.48527571006093606,1.0,[0.33628885 0.83206775 1.        ],[0. 1. 1.],[0.84640405 0.78313231 1.        ],[0.81591521 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0.        0.9874552 0.0125448],0,0.0,0.0,0.49181165777335434,1.0,[0.34616766 0.84016919 1.        ],[0. 1. 1.],[0.84693202 0.78303994 1.        ],[0.81671878 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.5081883422266457,0,0,0,-0.1598308078312186,-0.0,False
0.0,0.0,0.49181165777335434,1.0,[0.34616766 0.84016919 1.        ],[0. 1. 1.],[0.84693202 0.78303994 1.        ],[0.81671878 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.4983476054857726,1.0,[0.35585605 0.84810342 1.        ],[0. 1. 1.],[0.84662324 0.78356506 1.        ],[0.81534395 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.5016523945142274,0,0,0,-0.15189657679606128,-0.0,False
0.0,0.0,0.4983476054857726,1.0,[0.35585605 0.84810342 1.        ],[0. 1. 1.],[0.84662324 0.78356506 1.        ],[0.81534395 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.5048835531981909,1.0,[0.36540984 0.8558539  1.        ],[0. 1. 1.],[0.84832041 0.78349534 1.        ],[0.81624588 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.4951164468018091,0,0,0,-0.14414610358087987,-0.0,False
0.0,0.0,0.5048835531981909,1.0,[0.36540984 0.8558539  1.        ],[0. 1. 1.],[0.84832041 0.78349534 1.        ],[0.81624588 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.5114195009106092,1.0,[0.         0.86343936 1.        ],[0.76831758 1.         1.        ],[0.81712816 0.78409973 1.        ],[0.78336386 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.48858049908939083,0,0,0,-0.13656063533472296,-0.0,False
0.0,0.0,0.5114195009106092,1.0,[0.         0.86343936 1.        ],[0.76831758 1.         1.        ],[0.81712816 0.78409973 1.        ],[0.78336386 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.5179554486230274,1.0,[0.         0.87083602 1.        ],[0.76094308 1.         1.        ],[0.81765413 0.78384838 1.        ],[0.78305203 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.48204455137697255,0,0,0,-0.12916397753878128,-0.0,False
0.0,0.0,0.5179554486230274,1.0,[0.         0.87083602 1.        ],[0.76094308 1.         1.        ],[0.81765413 0.78384838 1.        ],[0.78305203 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.5244913963354457,1.0,[0.         0.87804923 1.        ],[0.75378518 1.         1.        ],[0.81524256 0.78378957 1.        ],[0.78180142 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.4755086036645542,0,0,0,-0.12195077374600327,-4.440892098500626e-15,False
0.0,0.0,0.5244913963354457,1.0,[0.         0.87804923 1.        ],[0.75378518 1.         1.        ],[0.81524256 0.78378957 1.        ],[0.78180142 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,0.0,0.531027344047864,0.0,[0.         0.88506743 1.        ],[0.7467739 1.        1.       ],[0.81474371 0.78331582 1.        ],[0.78306675 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.46897265595213594,0,0,0,-0.11493256709866007,-4.440892098500626e-15,False
0.0,0.0,0.531027344047864,0.0,[0.         0.88506743 1.        ],[0.7467739 1.        1.       ],[0.81474371 0.78331582 1.        ],[0.78306675 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,1.0,0.5375632917602823,0.0,[0.         0.89185452 1.        ],[0.73993574 1.         1.        ],[0.81859231 0.78154356 1.        ],[0.78337977 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.46243670823971766,0,0,0,-0.10814547959405596,-0.0,False
0.0,1.0,0.5375632917602823,0.0,[0.         0.89185452 1.        ],[0.73993574 1.         1.        ],[0.81859231 0.78154356 1.        ],[0.78337977 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,1.0,0.5440992394727006,0.0,[0.         0.89849009 1.        ],[0.73328726 1.         1.        ],[0.81572572 0.78263295 1.        ],[0.78309678 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.4559007605272994,0,0,0,-0.10150990552061012,-0.0,False
0.0,1.0,0.5440992394727006,0.0,[0.         0.89849009 1.        ],[0.73328726 1.         1.        ],[0.81572572 0.78263295 1.        ],[0.78309678 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,1.0,0.5506351871851188,0.0,[0.00218354 0.90495977 1.        ],[0.72682919 1.         1.        ],[0.81506031 0.78320531 1.        ],[0.78278782 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.4493648128148811,0,0,0,-0.09504022750626262,-0.0,False
0.0,1.0,0.5506351871851188,0.0,[0.00218354 0.90495977 1.        ],[0.72682919 1.         1.        ],[0.81506031 0.78320531 1.        ],[0.78278782 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,1.0,0.5571711348975371,0.0,[0.00943219 0.91120326 1.        ],[0.72054983 1.         1.        ],[0.81774347 0.78161005 1.        ],[0.78290003 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.44282886510246283,0,0,0,-0.08879674483983391,-0.0,False
0.0,1.0,0.5571711348975371,0.0,[0.00943219 0.91120326 1.        ],[0.72054983 1.         1.        ],[0.81774347 0.78161005 1.        ],[0.78290003 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],0,0.0,1.0,0.5637070826099554,0.0,[0.01651915 0.91728529 1.        ],[0.71448372 1.         1.        ],[0.81846714 0.78234243 1.        ],[0.78176962 0.         0.        ],[1. 1. 0.],[1. 0. 0.],[0. 1. 0.],-0.43629291739004455,0,0,0,-0.08271470710018758,-0.0,False
